id_number	name	e_mail	phone	b_year	b_mon	b_day	a.x	a.y	profession	risk	age_group	timestamp
823456789012345	demo8_0001	demo8_0001@zju.edu.cn	12345678901	1951	8	1	1	50	7	2	0	0
823456789012346	demo8_0002	demo8_0002@zju.edu.cn	12345678902	2008	1	19	47	11	6	1	1	0
823456789012345	demo8_0003	demo8_0003@zju.edu.cn	12345678903	1981	3	21	43	35	1	2	2	0
823456789012346	demo8_0004	demo8_0004@zju.edu.cn	12345678904	1953	6	5	16	36	5	1	3	0
823456789012345	demo8_0005	demo8_0005@zju.edu.cn	12345678905	2019	5	2	50	13	6	3	4	0
823456789012346	demo8_0006	demo8_0006@zju.edu.cn	12345678906	1996	3	15	23	17	3	2	5	0
823456789012345	demo8_0007	demo8_0007@zju.edu.cn	12345678907	1972	10	7	49	32	4	3	6	0
823456789012346	demo8_0008	demo8_0008@zju.edu.cn	12345678908	2011	10	11	3	11	7	2	7	0
823456789012345	demo8_0009	demo8_0009@zju.edu.cn	12345678909	1985	1	19	10	4	4	0	8	0
823456789012346	demo8_0010	demo8_0010@zju.edu.cn	12345678910	1957	4	8	43	20	7	3	9	0
823456789012345	demo8_0011	demo8_0011@zju.edu.cn	12345678911	1989	11	2	48	26	8	2	10	0
823456789012346	demo8_0012	demo8_0012@zju.edu.cn	12345678912	1987	2	10	33	7	8	3	11	0
823456789012345	demo8_0013	demo8_0013@zju.edu.cn	12345678913	1954	3	15	22	26	6	3	12	0
823456789012346	demo8_0014	demo8_0014@zju.edu.cn	12345678914	1976	5	13	50	15	4	0	13	0
823456789012345	demo8_0015	demo8_0015@zju.edu.cn	12345678915	2003	2	7	3	29	8	0	14	0
823456789012346	demo8_0016	demo8_0016@zju.edu.cn	12345678916	2012	5	1	42	28	7	0	15	0
823456789012345	demo8_0017	demo8_0017@zju.edu.cn	12345678917	1960	9	28	48	37	7	2	16	0
823456789012346	demo8_0018	demo8_0018@zju.edu.cn	12345678918	1984	3	10	22	20	5	2	17	0
823456789012345	demo8_0019	demo8_0019@zju.edu.cn	12345678919	2017	9	11	1	32	8	0	18	0
823456789012346	demo8_0020	demo8_0020@zju.edu.cn	12345678920	1957	3	8	32	21	2	3	19	0
823456789012345	demo8_0021	demo8_0021@zju.edu.cn	12345678921	1999	10	5	6	13	8	3	20	0
823456789012346	demo8_0022	demo8_0022@zju.edu.cn	12345678922	1966	1	5	13	1	2	2	21	0
823456789012345	demo8_0023	demo8_0023@zju.edu.cn	12345678923	2010	11	23	17	35	5	2	22	0
823456789012346	demo8_0024	demo8_0024@zju.edu.cn	12345678924	1962	12	14	48	31	8	2	23	0
823456789012345	demo8_0025	demo8_0025@zju.edu.cn	12345678925	2007	7	26	48	48	1	3	24	0
823456789012346	demo8_0026	demo8_0026@zju.edu.cn	12345678926	1961	4	8	12	24	7	1	25	0
823456789012345	demo8_0027	demo8_0027@zju.edu.cn	12345678927	1980	4	9	37	17	8	1	26	0
823456789012346	demo8_0028	demo8_0028@zju.edu.cn	12345678928	1982	8	6	41	28	7	0	27	0
823456789012345	demo8_0029	demo8_0029@zju.edu.cn	12345678929	1961	2	5	29	10	6	2	28	0
823456789012346	demo8_0030	demo8_0030@zju.edu.cn	12345678930	1980	2	27	32	5	7	1	29	0
823456789012345	demo8_0031	demo8_0031@zju.edu.cn	12345678931	1955	11	5	43	49	4	0	30	0
823456789012346	demo8_0032	demo8_0032@zju.edu.cn	12345678932	1963	12	3	10	30	6	3	31	0
823456789012345	demo8_0033	demo8_0033@zju.edu.cn	12345678933	1971	4	23	31	49	2	3	32	0
823456789012346	demo8_0034	demo8_0034@zju.edu.cn	12345678934	1987	12	4	34	12	1	2	33	0
823456789012345	demo8_0035	demo8_0035@zju.edu.cn	12345678935	1957	11	20	13	34	6	1	34	0
823456789012346	demo8_0036	demo8_0036@zju.edu.cn	12345678936	1977	5	9	11	44	6	0	35	0
823456789012345	demo8_0037	demo8_0037@zju.edu.cn	12345678937	1958	2	2	36	42	4	1	36	0
823456789012346	demo8_0038	demo8_0038@zju.edu.cn	12345678938	1994	1	6	16	1	8	0	37	0
823456789012345	demo8_0039	demo8_0039@zju.edu.cn	12345678939	1958	3	5	20	23	3	1	38	0
823456789012346	demo8_0040	demo8_0040@zju.edu.cn	12345678940	1972	5	19	35	17	3	3	39	0
823456789012345	demo8_0041	demo8_0041@zju.edu.cn	12345678941	1982	3	20	14	43	3	3	40	0
823456789012346	demo8_0042	demo8_0042@zju.edu.cn	12345678942	1957	2	16	7	50	8	1	41	0
823456789012345	demo8_0043	demo8_0043@zju.edu.cn	12345678943	2004	1	28	24	15	8	1	42	0
823456789012346	demo8_0044	demo8_0044@zju.edu.cn	12345678944	2006	12	23	4	39	7	0	43	0
823456789012345	demo8_0045	demo8_0045@zju.edu.cn	12345678945	1976	6	1	34	42	1	0	44	0
823456789012346	demo8_0046	demo8_0046@zju.edu.cn	12345678946	1996	12	12	2	14	6	3	45	0
823456789012345	demo8_0047	demo8_0047@zju.edu.cn	12345678947	2001	7	24	23	39	6	0	46	0
823456789012346	demo8_0048	demo8_0048@zju.edu.cn	12345678948	1967	12	22	22	31	1	3	47	0
823456789012345	demo8_0049	demo8_0049@zju.edu.cn	12345678949	1987	2	5	29	7	6	3	48	0
823456789012346	demo8_0050	demo8_0050@zju.edu.cn	12345678950	2000	2	6	34	43	3	3	49	0
823456789012345	demo8_0051	demo8_0051@zju.edu.cn	12345678951	1993	7	17	39	25	8	2	50	0
823456789012346	demo8_0052	demo8_0052@zju.edu.cn	12345678952	1976	7	16	5	25	4	3	51	0
823456789012345	demo8_0053	demo8_0053@zju.edu.cn	12345678953	1992	7	2	42	23	8	1	52	0
823456789012346	demo8_0054	demo8_0054@zju.edu.cn	12345678954	1952	4	15	37	14	6	0	53	0
823456789012345	demo8_0055	demo8_0055@zju.edu.cn	12345678955	1954	10	21	36	41	1	1	54	0
823456789012346	demo8_0056	demo8_0056@zju.edu.cn	12345678956	1950	12	17	15	3	1	0	55	0
823456789012345	demo8_0057	demo8_0057@zju.edu.cn	12345678957	1975	2	2	31	22	2	1	56	0
823456789012346	demo8_0058	demo8_0058@zju.edu.cn	12345678958	2018	4	25	23	33	3	1	57	0
823456789012345	demo8_0059	demo8_0059@zju.edu.cn	12345678959	1971	2	4	39	9	3	1	58	0
823456789012346	demo8_0060	demo8_0060@zju.edu.cn	12345678960	1996	8	27	18	18	7	0	59	0
